title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
3%	TV Show	Brazil	2020	2020-08-14	TV-MA	4 Seasons	International TV Shows, TV Dramas, TV Sci-Fi & Fantasy	NA	João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi	7.3	25077
Beyond the Boundary: ICC Women's T20 World Cup Australia 2020	Movie	NA	2020	2020-08-14	TV-G	59 min	Documentaries, International Movies, Sports Movies	Anna Stone	NA	NA	NA
Fearless	Movie	Canada	2020	2020-08-14	TV-Y7	92 min	Children & Family Movies, Comedies	Cory Edwards	Yara Shahidi, Miles Robbins, Miguel J. Pimentel, Gabrielle Union, Jadakiss, Tom Kenny, Angie Martinez, Harland Williams, Fat Joe, Amari McCoy, Dwyane Wade	7.1	299
Fearless	Movie	Canada	2020	2020-08-14	TV-Y7	92 min	Children & Family Movies, Comedies	Cory Edwards	Yara Shahidi, Miles Robbins, Miguel J. Pimentel, Gabrielle Union, Jadakiss, Tom Kenny, Angie Martinez, Harland Williams, Fat Joe, Amari McCoy, Dwyane Wade	4.9	1706
Nigerian Prince	Movie	United States, Nigeria	2018	2020-08-14	TV-MA	104 min	Dramas, Independent Movies	Faraday Okoro	Antonio Bell, Chinaza Uche, Tina Mba, Bimbo Manuel, Toyin Oshinaike, Craig Stott, Ebbe Bassey, Cristabel Goddy, Omar Maskati, Russell G. Jones, Dean Cameron	5.8	383
Octonauts & the Caves of Sac Actun	Movie	United Kingdom	2020	2020-08-14	TV-Y	72 min	Children & Family Movies	Blair Simmons	Teresa Gallagher, Simon Greenall, Keith Wickham, Rob Rackstraw, Michael Murphy, Jo Wyatt, Helen Walsh, Andres Williams, Paul Panting	NA	NA
Project Power	Movie	United States	2020	2020-08-14	R	113 min	Action & Adventure	Henry Joost, Ariel Schulman	Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond	6	83973
Teenage Bounty Hunters	TV Show	United States	2020	2020-08-14	TV-MA	1 Season	Crime TV Shows, TV Comedies, TV Dramas	NA	Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man	7.6	10821
The Great Heist	TV Show	Colombia	2020	2020-08-14	TV-MA	1 Season	Crime TV Shows, International TV Shows, Spanish-Language TV Shows	NA	Andrés Parra, Christian Tappan, Marcela Benjumea, Juan Sebastián Calero, Waldo Urrego, Rodrigo Jerez, Katherine Vélez, Paula Castaño, Pedro Suárez, Édgar Vittorino, Ramsés Ramos, Juan Pablo Barragán	7.3	2528
The Legend of Korra	TV Show	United States	2014	2020-08-14	TV-Y7	4 Seasons	Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy	NA	Janet Varney, David Faustino, P.J. Byrne, J.K. Simmons, Dee Bradley Baker, Seychelle Gabriel, Logan Wells, Jeff Bennett, Kiernan Shipka	8.4	117464
Zoids Wild	TV Show	Japan	2018	2020-08-14	TV-Y7	1 Season	Anime Series, Kids' TV	NA	Kensho Ono, Takahiro Sakurai, Mikako Komatsu, Etsuko Kozakura, Subaru Kimura, Kaito Ishikawa, Ami Koshimizu, Yoji Ikuta, Hayato Kimura, Kotaro Nishiyama, Takuya Kirimoto, Tomokazu Seki, Suzuko Mimori	6	25
An Easy Girl	Movie	France	2019	2020-08-13	TV-MA	93 min	Comedies, Dramas, International Movies	Rebecca Zlotowski	Mina Farid, Zahia Dehar, Benoît Magimel, Nuno Lopes, Clotilde Courau, Loubna Abidar, "Riley" Lakdhar Dridi, Henri-Noël Tabary	5.6	4911
Christine	Movie	United Kingdom, United States	2016	2020-08-13	R	119 min	Dramas, Independent Movies	Antonio Campos	Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith	6.7	80945
Christine	Movie	United Kingdom, United States	2016	2020-08-13	R	119 min	Dramas, Independent Movies	Antonio Campos	Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith	6.9	14977
Simon Killer	Movie	United States, France	2012	2020-08-13	TV-MA	105 min	Dramas, Independent Movies, Thrillers	Antonio Campos	Brady Corbet, Mati Diop, Constance Rousseau, Lila Salet, Solo, Michaël Abiteboul, Nicolas Ronchi, Étienne Rotha Moeng	NA	NA
(Un)Well	TV Show	United States	2020	2020-08-12	TV-MA	1 Season	Reality TV	NA	NA	6.4	1041
Gunjan Saxena: The Kargil Girl	Movie	India	2020	2020-08-12	TV-14	113 min	Action & Adventure, Dramas, International Movies	Sharan Sharma	Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar, Manav Vij, Ayesha Raza Mishra	5.6	34423
Mr. Peabody & Sherman	Movie	United States	2014	2020-08-11	PG	93 min	Children & Family Movies, Comedies, Sci-Fi & Fantasy	Rob Minkoff	Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell	6.8	68790
Rob Schneider: Asian Momma, Mexican Kids	Movie	United States	2020	2020-08-11	TV-MA	44 min	Stand-Up Comedy	Tyler Spindel	Rob Schneider	5.5	716
GAME ON: A Comedy Crossover Event	TV Show	United States	2020	2020-08-10	TV-G	1 Season	Kids' TV, TV Comedies	NA	Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Paul Wight, Allison Munn, Gabriel Iglesias, Sherri Shepherd, Paulina Chávez, Jencarlos Canela	5.4	213
Terrace House: Tokyo 2019-2020	TV Show	Japan	2019	2020-08-10	TV-MA	2 Seasons	International TV Shows, Reality TV	NA	You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama	7.4	691
The Lost Husband	Movie	United States	2020	2020-08-10	PG-13	110 min	Dramas, Romantic Movies	Vicky Wight	Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia	6.1	4578
Diamonds in the Sky	Movie	NA	2018	2020-08-08	TV-14	113 min	Dramas, International Movies	Kunle Afolayan	Joke Silva, Omowunmi Dada, Bimbo Akintola, Femi Adebayo, Kayode Olaiya, Ali Nuhu, Yvonne Jegede, Toyin Abraham, Adebayo Salami, Ayo Mogaji, Magaji Mijinyawa	7.4	10
The Governor	TV Show	Nigeria	2016	2020-08-08	TV-14	1 Season	International TV Shows, TV Dramas	NA	Caroline Chikezie, Bimbo Manuel, Lord Frank, Edmond Enaibe, Taiwo Obileye, Jude Chukwuka, Kunle Coker, Paul Christian Chukwudi, Samuel Abiola Robinson, Simi Adejumo, Ani Iyoho	7.4	100
We Summon the Darkness	Movie	United States, Canada, United Kingdom	2020	2020-08-08	R	90 min	Horror Movies, Thrillers	Marc Meyers	Alexandra Daddario, Amy Forsyth, Keean Johnson, Maddie Hasson, Logan Miller, Austin Swift, Johnny Knoxville, Allison McAtee, Tanner Beard	5.2	10056
